id,title,release_date,genres,original_language,vote_average,vote_count,popularity,production_companies,vote_category,new_budget
11470,Jason X,11/9/2001,"['Horror', 'Science Fiction']",English,4.8,1146,20.604,"['Crystal Lake Entertainment', 'Sean S. Cunningham Films']",bad,16.21340583
45132,Super,11/26/2010,"['Comedy', 'Action', 'Drama']",English,6.6,1323,19.855,"['This Is That Productions', 'Ambush Entertainment', 'Crimson Bolt']",good,14.73180129
399366,Marrowbone,10/27/2017,"['Thriller', 'Horror', 'Drama', 'Mystery']",English,7.2,1255,17.81,"['Mogambo Films', 'Lionsgate', 'Telecinco Cinema', 'Universal Pictures', 'Movistar+', 'ICAA', 'Marrowbone SLU', 'Mediaset España']",good,15.8949521
9331,Clear and Present Danger,8/3/1994,"['Action', 'Drama', 'Thriller']",English,6.6,1264,17.351,"['Paramount', 'Mace Neufeld Productions']",good,17.94264494
806,The Omen,6/6/2006,['Horror'],English,5.6,920,18.853,['20th Century Fox'],bad,17.03438638
1119600,How Not to Win Eurovision,5/8/2023,Company X,English,0,0,23.635,Company X,bad,12.82125828
22855,Superman/Batman: Public Enemies,9/29/2009,"['Science Fiction', 'Animation', 'Action', 'Adventure', 'Family']",English,7,555,22.352,"['Warner Premiere', 'Warner Bros. Animation', 'DC Comics']",good,12.82125828
752505,The Old Ways,10/16/2020,"['Horror', 'Fantasy']",English,6.9,300,28.921,['Soapbox Films'],good,12.82125828
10734,Escape from Alcatraz,6/22/1979,"['Drama', 'Thriller']",English,7.5,2433,19.548,"['Paramount', 'Malpaso Productions']",good,15.8949521
1975,The Grudge 2,10/12/2006,"['Horror', 'Thriller']",English,5.5,895,17.6,"['Ghost House Pictures', 'Vertigo Entertainment', 'Columbia Pictures', 'Mandate International']",bad,16.81124283
9693,Children of Men,9/22/2006,"['Drama', 'Action', 'Thriller', 'Science Fiction']",English,7.6,6293,21.049,"['Universal Pictures', 'Strike Entertainment', 'Hit & Run Productions']",good,18.1462439
581997,Batman vs Teenage Mutant Ninja Turtles,3/31/2019,"['Animation', 'Action', 'Family']",English,7.2,398,19.357,"['Warner Bros. Animation', 'DC Entertainment', 'Nickelodeon Animation Studio']",good,12.82125828
9711,Species III,11/26/2004,"['Science Fiction', 'Action', 'Horror']",English,5.3,343,21.347,"['FGM Entertainment', 'Metro-Goldwyn-Mayer']",bad,12.82125828
8975,The Marine,10/13/2006,['Action'],English,6,629,18.847,"['Pacific Film and Television Commission', 'WWE Studios', '20th Century Fox']",bad,16.81124283
594188,NiNoKuni,8/23/2019,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Romance']",Japanese,6.6,213,20.858,"['OLM', 'Level-5', 'Warner Bros. Japan', 'Bandai', 'Kodansha', 'dentsu', 'movic', 'Netmarble', 'KDDI', 'LINE', 'Hikari TV', 'Bandai Namco Amusement']",good,12.82125828
